
Leonidas  	1	M	light bright green  	Healthy
Tyler     	2	M	light green         	Healthy
Dinah     	2	F	olive yellow        	Healthy
Rebeca    	2	F	dirty yellow        	Healthy
Melvyn    	1	M	light green         	Healthy
Filberto  	1	M	olive yellow        	Healthy
Hedi      	1	F	dirty yellow        	Healthy
Teodorico 	1	M	light green         	Healthy
Ewan      	1	M	olive yellow        	Healthy
Augusta   	1	F	dirty yellow        	Healthy
Arther    	1	M	light green         	Healthy
Christin  	1	F	olive yellow        	Healthy
Ferdie    	1	M	dirty yellow        	Healthy
Judah     	0	M	light green         	Healthy
Garrick   	0	M	olive yellow        	Healthy
Jeane     	0	F	dirty yellow        	Healthy
Bobinette 	0	F	light green         	Healthy
Cassy     	0	F	olive yellow        	Healthy
Mile      	0	M	dirty yellow        	Healthy
Nerita    	0	F	light green         	Healthy
Ardine    	0	F	olive yellow        	Healthy
Chastity  	0	F	dirty yellow        	Healthy
Britte    	0	F	dirty yellow        	Healthy
Gabriellia	0	F	olive yellow        	Healthy
Yehudi    	0	M	dirty yellow        	Healthy
------------------------------------------------------------------------
Leonidas  	7	M	light bright green  	Healthy
Myrta     	7	F	light green         	Healthy
Aeriel    	7	F	olive yellow        	Healthy
Mickie    	7	F	dirty yellow        	Healthy
Delano    	7	M	macaroni and cheese 	Healthy
Tawsha    	5	F	light green         	Healthy
Wenona    	5	F	olive yellow        	Healthy
Candace   	5	F	dirty yellow        	Healthy
Maribel   	4	F	light green         	Healthy
Darda     	4	F	olive yellow        	Healthy
Mallory   	4	F	dirty yellow        	Healthy
Lucius    	3	M	light green         	Healthy
Guglielmo 	3	M	olive yellow        	Healthy
Mirabella 	3	F	dirty yellow        	Healthy
Tyler     	3	M	light green         	Healthy
Dinah     	3	F	olive yellow        	Healthy
Rebeca    	3	F	dirty yellow        	Healthy
Melvyn    	2	M	light green         	Healthy
Filberto  	2	M	olive yellow        	Healthy
Hedi      	2	F	dirty yellow        	Healthy
Teodorico 	2	M	light green         	Healthy
Ewan      	2	M	olive yellow        	Healthy
Augusta   	2	F	dirty yellow        	Healthy
Arther    	2	M	light green         	Healthy
Christin  	2	F	olive yellow        	Healthy
Ferdie    	2	M	dirty yellow        	Healthy
Judah     	1	M	light green         	Healthy
Garrick   	1	M	olive yellow        	Healthy
Jeane     	1	F	dirty yellow        	Healthy
Bobinette 	1	F	light green         	Healthy
Cassy     	1	F	olive yellow        	Healthy
Mile      	1	M	dirty yellow        	Healthy
Nerita    	1	F	light green         	Healthy
Ardine    	1	F	olive yellow        	Healthy
Chastity  	1	F	dirty yellow        	Healthy
Britte    	1	F	dirty yellow        	Healthy
Gabriellia	1	F	olive yellow        	Healthy
Yehudi    	1	M	dirty yellow        	Healthy
Jorry     	0	F	light green         	Healthy
Raffaello 	0	M	olive yellow        	Healthy
Josselyn  	0	F	dirty yellow        	Healthy
Lorenzo   	0	M	light green         	Radioactive
Adelice   	0	F	olive yellow        	Healthy
Arvie     	0	M	dirty yellow        	Healthy
Hy        	0	M	light green         	Healthy
Bryanty   	0	M	olive yellow        	Healthy
Twyla     	0	F	dirty yellow        	Healthy
Myron     	0	M	dirty yellow        	Healthy
Noll      	0	M	olive yellow        	Healthy
Juliet    	0	F	dirty yellow        	Healthy
Isadora   	0	F	dirty yellow        	Healthy
Jackelyn  	0	F	dirty yellow        	Healthy
Kin       	0	M	olive yellow        	Healthy
------------------------------------------------------------------------
Leonidas  	8	M	light bright green  	Healthy
Myrta     	8	F	light green         	Healthy
Aeriel    	8	F	olive yellow        	Healthy
Mickie    	8	F	dirty yellow        	Healthy
Delano    	8	M	macaroni and cheese 	Healthy
Tawsha    	6	F	light green         	Healthy
Wenona    	6	F	olive yellow        	Healthy
Candace   	6	F	dirty yellow        	Healthy
Maribel   	5	F	light green         	Healthy
Darda     	5	F	olive yellow        	Healthy
Mallory   	5	F	dirty yellow        	Healthy
Lucius    	4	M	light green         	Healthy
Guglielmo 	4	M	olive yellow        	Healthy
Mirabella 	4	F	dirty yellow        	Healthy
Tyler     	4	M	light green         	Healthy
Dinah     	4	F	olive yellow        	Healthy
Rebeca    	4	F	dirty yellow        	Healthy
Melvyn    	3	M	light green         	Healthy
Filberto  	3	M	olive yellow        	Healthy
Hedi      	3	F	dirty yellow        	Healthy
Teodorico 	3	M	light green         	Healthy
Ewan      	3	M	olive yellow        	Healthy
Augusta   	3	F	dirty yellow        	Healthy
Arther    	3	M	light green         	Healthy
Christin  	3	F	olive yellow        	Healthy
Ferdie    	3	M	dirty yellow        	Healthy
Judah     	2	M	light green         	Radioactive
Garrick   	2	M	olive yellow        	Healthy
Jeane     	2	F	dirty yellow        	Healthy
Bobinette 	2	F	light green         	Healthy
Cassy     	2	F	olive yellow        	Healthy
Mile      	2	M	dirty yellow        	Healthy
Nerita    	2	F	light green         	Healthy
Ardine    	2	F	olive yellow        	Healthy
Chastity  	2	F	dirty yellow        	Healthy
Britte    	2	F	dirty yellow        	Healthy
Gabriellia	2	F	olive yellow        	Healthy
Yehudi    	2	M	dirty yellow        	Healthy
Jorry     	1	F	light green         	Healthy
Raffaello 	1	M	olive yellow        	Healthy
Josselyn  	1	F	dirty yellow        	Healthy
Lorenzo   	1	M	light green         	Radioactive
Adelice   	1	F	olive yellow        	Healthy
Arvie     	1	M	dirty yellow        	Healthy
Hy        	1	M	light green         	Healthy
Bryanty   	1	M	olive yellow        	Healthy
Twyla     	1	F	dirty yellow        	Healthy
Myron     	1	M	dirty yellow        	Healthy
Noll      	1	M	olive yellow        	Healthy
Juliet    	1	F	dirty yellow        	Healthy
Isadora   	1	F	dirty yellow        	Healthy
Jackelyn  	1	F	dirty yellow        	Healthy
Kin       	1	M	olive yellow        	Healthy
Sheppard  	0	M	light green         	Healthy
Shaine    	0	F	olive yellow        	Healthy
Isidro    	0	M	dirty yellow        	Healthy
Kristien  	0	F	light green         	Healthy
Johna     	0	F	olive yellow        	Healthy
Tabbie    	0	F	dirty yellow        	Healthy
Trip      	0	M	light green         	Healthy
Dun       	0	M	olive yellow        	Healthy
Dannie    	0	M	dirty yellow        	Healthy
Myra      	0	F	dirty yellow        	Healthy
Kylynn    	0	F	olive yellow        	Healthy
Anatola   	0	F	dirty yellow        	Healthy
Herb      	0	M	dirty yellow        	Healthy
Jandy     	0	F	dirty yellow        	Healthy
Eal       	0	M	olive yellow        	Healthy
Lyndsey   	0	F	dirty yellow        	Healthy
Curr      	0	M	light green         	Healthy
Conway    	0	M	olive yellow        	Healthy
Antin     	0	M	light green         	Healthy
Shepperd  	0	M	olive yellow        	Healthy
Rollo     	0	M	dirty yellow        	Healthy
Lindsey   	0	F	dirty yellow        	Healthy
Wernher   	0	M	olive yellow        	Healthy
------------------------------------------------------------------------
Leonidas  	9	M	light bright green  	Healthy
Myrta     	9	F	light green         	Healthy
Aeriel    	9	F	olive yellow        	Healthy
Mickie    	9	F	dirty yellow        	Healthy
Delano    	9	M	macaroni and cheese 	Healthy
Tawsha    	7	F	light green         	Healthy
Wenona    	7	F	olive yellow        	Healthy
Candace   	7	F	dirty yellow        	Healthy
Maribel   	6	F	light green         	Healthy
Darda     	6	F	olive yellow        	Healthy
Mallory   	6	F	dirty yellow        	Healthy
Lucius    	5	M	light green         	Healthy
Guglielmo 	5	M	olive yellow        	Healthy
Mirabella 	5	F	dirty yellow        	Healthy
Tyler     	5	M	light green         	Healthy
Dinah     	5	F	olive yellow        	Healthy
Rebeca    	5	F	dirty yellow        	Healthy
Melvyn    	4	M	light green         	Healthy
Filberto  	4	M	olive yellow        	Healthy
Hedi      	4	F	dirty yellow        	Healthy
Teodorico 	4	M	light green         	Healthy
Ewan      	4	M	olive yellow        	Healthy
Augusta   	4	F	dirty yellow        	Healthy
Arther    	4	M	light green         	Healthy
Christin  	4	F	olive yellow        	Healthy
Ferdie    	4	M	dirty yellow        	Healthy
Judah     	3	M	light green         	Radioactive
Garrick   	3	M	olive yellow        	Healthy
Jeane     	3	F	dirty yellow        	Healthy
Bobinette 	3	F	light green         	Healthy
Cassy     	3	F	olive yellow        	Healthy
Mile      	3	M	dirty yellow        	Healthy
Nerita    	3	F	light green         	Radioactive
Ardine    	3	F	olive yellow        	Healthy
Chastity  	3	F	dirty yellow        	Healthy
Britte    	3	F	dirty yellow        	Healthy
Gabriellia	3	F	olive yellow        	Healthy
Yehudi    	3	M	dirty yellow        	Healthy
Jorry     	2	F	light green         	Healthy
Raffaello 	2	M	olive yellow        	Healthy
Josselyn  	2	F	dirty yellow        	Healthy
Lorenzo   	2	M	light green         	Radioactive
Adelice   	2	F	olive yellow        	Healthy
Arvie     	2	M	dirty yellow        	Healthy
Hy        	2	M	light green         	Healthy
Bryanty   	2	M	olive yellow        	Healthy
Twyla     	2	F	dirty yellow        	Healthy
Myron     	2	M	dirty yellow        	Healthy
Noll      	2	M	olive yellow        	Healthy
Juliet    	2	F	dirty yellow        	Healthy
Isadora   	2	F	dirty yellow        	Healthy
Jackelyn  	2	F	dirty yellow        	Healthy
Kin       	2	M	olive yellow        	Healthy
Sheppard  	1	M	light green         	Healthy
Shaine    	1	F	olive yellow        	Healthy
Isidro    	1	M	dirty yellow        	Healthy
Kristien  	1	F	light green         	Healthy
Johna     	1	F	olive yellow        	Healthy
Tabbie    	1	F	dirty yellow        	Healthy
Trip      	1	M	light green         	Healthy
Dun       	1	M	olive yellow        	Healthy
Dannie    	1	M	dirty yellow        	Healthy
Myra      	1	F	dirty yellow        	Healthy
Kylynn    	1	F	olive yellow        	Healthy
Anatola   	1	F	dirty yellow        	Healthy
Herb      	1	M	dirty yellow        	Healthy
Jandy     	1	F	dirty yellow        	Healthy
Eal       	1	M	olive yellow        	Healthy
Lyndsey   	1	F	dirty yellow        	Healthy
Curr      	1	M	light green         	Healthy
Conway    	1	M	olive yellow        	Healthy
Antin     	1	M	light green         	Healthy
Shepperd  	1	M	olive yellow        	Healthy
Rollo     	1	M	dirty yellow        	Healthy
Lindsey   	1	F	dirty yellow        	Healthy
Wernher   	1	M	olive yellow        	Healthy
Ignace    	0	M	light green         	Healthy
Delia     	0	F	olive yellow        	Healthy
Benedicto 	0	M	light green         	Healthy
Winslow   	0	M	olive yellow        	Healthy
Pepe      	0	M	dirty yellow        	Healthy
Kara      	0	F	light green         	Healthy
Diandra   	0	F	olive yellow        	Healthy
Karlik    	0	M	dirty yellow        	Healthy
Ingamar   	0	M	dirty yellow        	Healthy
Tommie    	0	F	dirty yellow        	Healthy
Hally     	0	F	dirty yellow        	Healthy
Lory      	0	F	olive yellow        	Radioactive
Cornelius 	0	M	dirty yellow        	Healthy
Ellissa   	0	F	light green         	Healthy
Ebenezer  	0	M	light green         	Healthy
Darla     	0	F	olive yellow        	Healthy
Ben       	0	M	dirty yellow        	Healthy
Celle     	0	F	dirty yellow        	Healthy
Heidi     	0	F	olive yellow        	Healthy
Reynold   	0	M	light green         	Healthy
Herminia  	0	F	dirty yellow        	Healthy
Sutton    	0	M	olive yellow        	Radioactive
Mario     	0	M	dirty yellow        	Healthy
------------------------------------------------------------------------
Leonidas  	10	M	light bright green  	Healthy
Myrta     	10	F	light green         	Healthy
Aeriel    	10	F	olive yellow        	Healthy
Mickie    	10	F	dirty yellow        	Healthy
Delano    	10	M	macaroni and cheese 	Healthy
Tawsha    	8	F	light green         	Radioactive
Wenona    	8	F	olive yellow        	Radioactive
Candace   	8	F	dirty yellow        	Healthy
Maribel   	7	F	light green         	Healthy
Darda     	7	F	olive yellow        	Healthy
Mallory   	7	F	dirty yellow        	Healthy
Lucius    	6	M	light green         	Healthy
Guglielmo 	6	M	olive yellow        	Healthy
Mirabella 	6	F	dirty yellow        	Healthy
Tyler     	6	M	light green         	Healthy
Dinah     	6	F	olive yellow        	Healthy
Rebeca    	6	F	dirty yellow        	Healthy
Melvyn    	5	M	light green         	Healthy
Filberto  	5	M	olive yellow        	Healthy
Hedi      	5	F	dirty yellow        	Healthy
Teodorico 	5	M	light green         	Healthy
Ewan      	5	M	olive yellow        	Healthy
Augusta   	5	F	dirty yellow        	Healthy
Arther    	5	M	light green         	Healthy
Christin  	5	F	olive yellow        	Radioactive
Ferdie    	5	M	dirty yellow        	Healthy
Judah     	4	M	light green         	Radioactive
Garrick   	4	M	olive yellow        	Healthy
Jeane     	4	F	dirty yellow        	Healthy
Bobinette 	4	F	light green         	Radioactive
Cassy     	4	F	olive yellow        	Healthy
Mile      	4	M	dirty yellow        	Healthy
Nerita    	4	F	light green         	Radioactive
Ardine    	4	F	olive yellow        	Healthy
Chastity  	4	F	dirty yellow        	Healthy
Britte    	4	F	dirty yellow        	Healthy
Gabriellia	4	F	olive yellow        	Healthy
Yehudi    	4	M	dirty yellow        	Healthy
Jorry     	3	F	light green         	Healthy
Raffaello 	3	M	olive yellow        	Healthy
Josselyn  	3	F	dirty yellow        	Healthy
Lorenzo   	3	M	light green         	Radioactive
Adelice   	3	F	olive yellow        	Healthy
Arvie     	3	M	dirty yellow        	Healthy
Hy        	3	M	light green         	Healthy
Bryanty   	3	M	olive yellow        	Healthy
Twyla     	3	F	dirty yellow        	Healthy
Myron     	3	M	dirty yellow        	Healthy
Noll      	3	M	olive yellow        	Healthy
Juliet    	3	F	dirty yellow        	Healthy
Isadora   	3	F	dirty yellow        	Healthy
Jackelyn  	3	F	dirty yellow        	Healthy
Kin       	3	M	olive yellow        	Healthy
Sheppard  	2	M	light green         	Healthy
Shaine    	2	F	olive yellow        	Healthy
Isidro    	2	M	dirty yellow        	Healthy
Kristien  	2	F	light green         	Radioactive
Johna     	2	F	olive yellow        	Healthy
Tabbie    	2	F	dirty yellow        	Healthy
Trip      	2	M	light green         	Healthy
Dun       	2	M	olive yellow        	Healthy
Dannie    	2	M	dirty yellow        	Healthy
Myra      	2	F	dirty yellow        	Healthy
Kylynn    	2	F	olive yellow        	Healthy
Anatola   	2	F	dirty yellow        	Healthy
Herb      	2	M	dirty yellow        	Healthy
Jandy     	2	F	dirty yellow        	Healthy
Eal       	2	M	olive yellow        	Healthy
Lyndsey   	2	F	dirty yellow        	Healthy
Curr      	2	M	light green         	Healthy
Conway    	2	M	olive yellow        	Healthy
Antin     	2	M	light green         	Healthy
Shepperd  	2	M	olive yellow        	Healthy
Rollo     	2	M	dirty yellow        	Healthy
Lindsey   	2	F	dirty yellow        	Healthy
Wernher   	2	M	olive yellow        	Healthy
Ignace    	1	M	light green         	Healthy
Delia     	1	F	olive yellow        	Healthy
Benedicto 	1	M	light green         	Healthy
Winslow   	1	M	olive yellow        	Healthy
Pepe      	1	M	dirty yellow        	Healthy
Kara      	1	F	light green         	Healthy
Diandra   	1	F	olive yellow        	Healthy
Karlik    	1	M	dirty yellow        	Healthy
Ingamar   	1	M	dirty yellow        	Healthy
Tommie    	1	F	dirty yellow        	Healthy
Hally     	1	F	dirty yellow        	Healthy
Lory      	1	F	olive yellow        	Radioactive
Cornelius 	1	M	dirty yellow        	Healthy
Ellissa   	1	F	light green         	Healthy
Ebenezer  	1	M	light green         	Healthy
Darla     	1	F	olive yellow        	Healthy
Ben       	1	M	dirty yellow        	Healthy
Celle     	1	F	dirty yellow        	Healthy
Heidi     	1	F	olive yellow        	Healthy
Reynold   	1	M	light green         	Healthy
Herminia  	1	F	dirty yellow        	Healthy
Sutton    	1	M	olive yellow        	Radioactive
Mario     	1	M	dirty yellow        	Healthy
Humfrid   	0	M	light green         	Healthy
Marijo    	0	F	olive yellow        	Healthy
Dyan      	0	F	dirty yellow        	Healthy
Maggie    	0	F	light green         	Healthy
Terrence  	0	M	olive yellow        	Healthy
Brien     	0	M	dirty yellow        	Healthy
Davon     	0	M	light green         	Radioactive
Giraud    	0	M	olive yellow        	Healthy
Lulita    	0	F	dirty yellow        	Healthy
Dacey     	0	F	dirty yellow        	Healthy
Brigida   	0	F	olive yellow        	Healthy
Isabella  	0	F	olive yellow        	Radioactive
Ole       	0	M	dirty yellow        	Healthy
Eolanda   	0	F	light green         	Healthy
Griffy    	0	M	olive yellow        	Healthy
Madelin   	0	F	dirty yellow        	Healthy
Mag       	0	F	dirty yellow        	Healthy
Leif      	0	M	olive yellow        	Healthy
Lucien    	0	M	light green         	Healthy
Myrah     	0	F	dirty yellow        	Healthy
Kikelia   	0	F	olive yellow        	Healthy
Karoly    	0	M	dirty yellow        	Healthy
Candace   	0	F	dirty yellow        	Healthy
Dino      	0	M	olive yellow        	Healthy
Herrick   	0	M	dirty yellow        	Healthy
Devinne   	0	F	olive yellow        	Radioactive
Pembroke  	0	M	dirty yellow        	Healthy
------------------------------------------------------------------------
Tawsha    	9	F	light green         	Radioactive
Wenona    	9	F	olive yellow        	Radioactive
Candace   	9	F	dirty yellow        	Healthy
Maribel   	8	F	light green         	Radioactive
Darda     	8	F	olive yellow        	Radioactive
Mallory   	8	F	dirty yellow        	Healthy
Lucius    	7	M	light green         	Healthy
Guglielmo 	7	M	olive yellow        	Healthy
Mirabella 	7	F	dirty yellow        	Healthy
Tyler     	7	M	light green         	Healthy
Dinah     	7	F	olive yellow        	Radioactive
Rebeca    	7	F	dirty yellow        	Healthy
Melvyn    	6	M	light green         	Healthy
Filberto  	6	M	olive yellow        	Healthy
Hedi      	6	F	dirty yellow        	Healthy
Teodorico 	6	M	light green         	Radioactive
Ewan      	6	M	olive yellow        	Healthy
Augusta   	6	F	dirty yellow        	Healthy
Arther    	6	M	light green         	Healthy
Christin  	6	F	olive yellow        	Radioactive
Ferdie    	6	M	dirty yellow        	Healthy
Judah     	5	M	light green         	Radioactive
Garrick   	5	M	olive yellow        	Healthy
Jeane     	5	F	dirty yellow        	Healthy
Bobinette 	5	F	light green         	Radioactive
Cassy     	5	F	olive yellow        	Healthy
Mile      	5	M	dirty yellow        	Healthy
Nerita    	5	F	light green         	Radioactive
Ardine    	5	F	olive yellow        	Healthy
Chastity  	5	F	dirty yellow        	Healthy
Britte    	5	F	dirty yellow        	Healthy
Gabriellia	5	F	olive yellow        	Healthy
Yehudi    	5	M	dirty yellow        	Healthy
Jorry     	4	F	light green         	Healthy
Raffaello 	4	M	olive yellow        	Healthy
Josselyn  	4	F	dirty yellow        	Healthy
Lorenzo   	4	M	light green         	Radioactive
Adelice   	4	F	olive yellow        	Radioactive
Arvie     	4	M	dirty yellow        	Healthy
Hy        	4	M	light green         	Healthy
Bryanty   	4	M	olive yellow        	Healthy
Twyla     	4	F	dirty yellow        	Healthy
Myron     	4	M	dirty yellow        	Healthy
Noll      	4	M	olive yellow        	Healthy
Juliet    	4	F	dirty yellow        	Healthy
Isadora   	4	F	dirty yellow        	Healthy
Jackelyn  	4	F	dirty yellow        	Healthy
Kin       	4	M	olive yellow        	Radioactive
Sheppard  	3	M	light green         	Radioactive
Shaine    	3	F	olive yellow        	Healthy
Isidro    	3	M	dirty yellow        	Healthy
Kristien  	3	F	light green         	Radioactive
Johna     	3	F	olive yellow        	Healthy
Tabbie    	3	F	dirty yellow        	Healthy
Trip      	3	M	light green         	Radioactive
Dun       	3	M	olive yellow        	Healthy
Dannie    	3	M	dirty yellow        	Healthy
Myra      	3	F	dirty yellow        	Healthy
Kylynn    	3	F	olive yellow        	Healthy
Anatola   	3	F	dirty yellow        	Healthy
Herb      	3	M	dirty yellow        	Healthy
Jandy     	3	F	dirty yellow        	Healthy
Eal       	3	M	olive yellow        	Radioactive
Lyndsey   	3	F	dirty yellow        	Healthy
Curr      	3	M	light green         	Healthy
Conway    	3	M	olive yellow        	Healthy
Antin     	3	M	light green         	Healthy
Shepperd  	3	M	olive yellow        	Healthy
Rollo     	3	M	dirty yellow        	Healthy
Lindsey   	3	F	dirty yellow        	Healthy
Wernher   	3	M	olive yellow        	Healthy
Ignace    	2	M	light green         	Radioactive
Delia     	2	F	olive yellow        	Healthy
Benedicto 	2	M	light green         	Healthy
Winslow   	2	M	olive yellow        	Radioactive
Pepe      	2	M	dirty yellow        	Healthy
Kara      	2	F	light green         	Healthy
Diandra   	2	F	olive yellow        	Healthy
Karlik    	2	M	dirty yellow        	Healthy
Ingamar   	2	M	dirty yellow        	Healthy
Tommie    	2	F	dirty yellow        	Healthy
Hally     	2	F	dirty yellow        	Healthy
Lory      	2	F	olive yellow        	Radioactive
Cornelius 	2	M	dirty yellow        	Healthy
Ellissa   	2	F	light green         	Radioactive
Ebenezer  	2	M	light green         	Healthy
Darla     	2	F	olive yellow        	Healthy
Ben       	2	M	dirty yellow        	Healthy
Celle     	2	F	dirty yellow        	Healthy
Heidi     	2	F	olive yellow        	Healthy
Reynold   	2	M	light green         	Healthy
Herminia  	2	F	dirty yellow        	Healthy
Sutton    	2	M	olive yellow        	Radioactive
Mario     	2	M	dirty yellow        	Healthy
Humfrid   	1	M	light green         	Radioactive
Marijo    	1	F	olive yellow        	Healthy
Dyan      	1	F	dirty yellow        	Healthy
Maggie    	1	F	light green         	Radioactive
Terrence  	1	M	olive yellow        	Healthy
Brien     	1	M	dirty yellow        	Healthy
Davon     	1	M	light green         	Radioactive
Giraud    	1	M	olive yellow        	Healthy
Lulita    	1	F	dirty yellow        	Healthy
Dacey     	1	F	dirty yellow        	Healthy
Brigida   	1	F	olive yellow        	Healthy
Isabella  	1	F	olive yellow        	Radioactive
Ole       	1	M	dirty yellow        	Healthy
Eolanda   	1	F	light green         	Radioactive
Griffy    	1	M	olive yellow        	Healthy
Madelin   	1	F	dirty yellow        	Healthy
Mag       	1	F	dirty yellow        	Healthy
Leif      	1	M	olive yellow        	Healthy
Lucien    	1	M	light green         	Healthy
Myrah     	1	F	dirty yellow        	Healthy
Kikelia   	1	F	olive yellow        	Radioactive
Karoly    	1	M	dirty yellow        	Healthy
Candace   	1	F	dirty yellow        	Healthy
Dino      	1	M	olive yellow        	Healthy
Herrick   	1	M	dirty yellow        	Healthy
Devinne   	1	F	olive yellow        	Radioactive
Pembroke  	1	M	dirty yellow        	Healthy
Justine   	0	F	light green         	Healthy
Darb      	0	M	olive yellow        	Healthy
Alvis     	0	M	dirty yellow        	Healthy
Katee     	0	F	olive yellow        	Healthy
Saba      	0	F	dirty yellow        	Healthy
Ardelia   	0	F	dirty yellow        	Healthy
Yelena    	0	F	olive yellow        	Healthy
Jennee    	0	F	dirty yellow        	Healthy
Leia      	0	F	dirty yellow        	Healthy
Gayla     	0	F	olive yellow        	Healthy
Marcille  	0	F	light green         	Healthy
Clarke    	0	M	dirty yellow        	Healthy
Holt      	0	M	olive yellow        	Radioactive
Jenelle   	0	F	olive yellow        	Healthy
Ralf      	0	M	dirty yellow        	Healthy
Cobby     	0	M	dirty yellow        	Healthy
Maximilianus	0	M	olive yellow        	Healthy
Clim      	0	M	dirty yellow        	Healthy
Keary     	0	M	dirty yellow        	Healthy
Ned       	0	M	dirty yellow        	Healthy
Dukey     	0	M	light green         	Healthy
Morna     	0	F	dirty yellow        	Healthy
Madelene  	0	F	olive yellow        	Healthy
Rik       	0	M	olive yellow        	Healthy
Byron     	0	M	dirty yellow        	Healthy
------------------------------------------------------------------------
Tawsha    	10	F	light green         	Radioactive
Wenona    	10	F	olive yellow        	Radioactive
Candace   	10	F	dirty yellow        	Healthy
Maribel   	9	F	light green         	Radioactive
Darda     	9	F	olive yellow        	Radioactive
Mallory   	9	F	dirty yellow        	Healthy
Lucius    	8	M	light green         	Healthy
Guglielmo 	8	M	olive yellow        	Healthy
Mirabella 	8	F	dirty yellow        	Healthy
Tyler     	8	M	light green         	Healthy
Dinah     	8	F	olive yellow        	Radioactive
Rebeca    	8	F	dirty yellow        	Healthy
Melvyn    	7	M	light green         	Healthy
Filberto  	7	M	olive yellow        	Healthy
Hedi      	7	F	dirty yellow        	Healthy
Teodorico 	7	M	light green         	Radioactive
Ewan      	7	M	olive yellow        	Radioactive
Augusta   	7	F	dirty yellow        	Healthy
Arther    	7	M	light green         	Healthy
Christin  	7	F	olive yellow        	Radioactive
Ferdie    	7	M	dirty yellow        	Healthy
Judah     	6	M	light green         	Radioactive
Garrick   	6	M	olive yellow        	Healthy
Jeane     	6	F	dirty yellow        	Healthy
Bobinette 	6	F	light green         	Radioactive
Cassy     	6	F	olive yellow        	Healthy
Mile      	6	M	dirty yellow        	Healthy
Nerita    	6	F	light green         	Radioactive
Ardine    	6	F	olive yellow        	Healthy
