
Hanson    	1	M	lighter green       	Healthy
Cherey    	8	F	red purple          	Healthy
Tremain   	8	M	candy pink          	Healthy
Agace     	7	F	red purple          	Healthy
Orsola    	7	F	candy pink          	Healthy
Shina     	6	F	red purple          	Healthy
Coralie   	6	F	candy pink          	Healthy
Colet     	6	M	red purple          	Healthy
Brendis   	5	M	red purple          	Healthy
Trude     	5	F	candy pink          	Healthy
Dugald    	5	M	red purple          	Healthy
Dulce     	5	F	red purple          	Healthy
Padriac   	5	M	candy pink          	Healthy
Collen    	4	F	red purple          	Healthy
Austen    	4	M	candy pink          	Healthy
Haily     	4	M	red purple          	Healthy
Jorgan    	4	M	red purple          	Healthy
Hyman     	4	M	candy pink          	Healthy
Riobard   	4	M	red purple          	Healthy
Christal  	4	F	candy pink          	Healthy
Robinette 	3	F	red purple          	Healthy
Renault   	3	M	candy pink          	Healthy
Kinnie    	3	M	red purple          	Healthy
Kit       	3	M	red purple          	Healthy
Lavina    	3	F	candy pink          	Healthy
Hartley   	3	M	red purple          	Healthy
Nelia     	3	F	candy pink          	Healthy
Etan      	3	M	candy pink          	Healthy
Gertrud   	3	F	red purple          	Healthy
Camellia  	2	F	red purple          	Healthy
Hazel     	2	F	candy pink          	Healthy
Hali      	2	F	red purple          	Healthy
Bambie    	2	F	red purple          	Healthy
Padriac   	2	M	candy pink          	Healthy
Celka     	2	F	red purple          	Healthy
Charis    	2	F	candy pink          	Healthy
Clo       	2	F	candy pink          	Healthy
Sloan     	2	M	red purple          	Healthy
Anna-Maria	2	F	red purple          	Healthy
Stormy    	2	F	candy pink          	Healthy
Irwinn    	1	M	red purple          	Healthy
Hobard    	1	M	candy pink          	Healthy
Trey      	1	M	red purple          	Healthy
Jewel     	1	F	red purple          	Healthy
Reginauld 	1	M	candy pink          	Healthy
Marcelline	1	F	red purple          	Healthy
Jeramie   	1	M	candy pink          	Healthy
Rollie    	1	M	candy pink          	Healthy
Paolina   	1	F	red purple          	Healthy
Anton     	1	M	red purple          	Healthy
Libby     	1	F	candy pink          	Healthy
Chance    	1	M	red purple          	Healthy
Shir      	1	F	candy pink          	Healthy
Dena      	1	F	candy pink          	Healthy
Elsa      	1	F	red purple          	Healthy
Meredithe 	0	F	red purple          	Healthy
Margie    	0	F	candy pink          	Healthy
Alejoa    	0	M	red purple          	Healthy
Edin      	0	F	red purple          	Healthy
Robb      	0	M	candy pink          	Healthy
Marcellina	0	F	red purple          	Healthy
Lorenzo   	0	M	candy pink          	Healthy
Angy      	0	F	candy pink          	Healthy
Ellie     	0	F	red purple          	Healthy
Almira    	0	F	red purple          	Healthy
Jimmy     	0	M	candy pink          	Healthy
Garnette  	0	F	red purple          	Healthy
Massimiliano	0	M	candy pink          	Healthy
Kincaid   	0	M	candy pink          	Healthy
Lexie     	0	F	red purple          	Healthy
Verene    	0	F	red purple          	Healthy
Launce    	0	M	candy pink          	Healthy
Yettie    	0	F	red purple          	Healthy
Tobiah    	0	M	red purple          	Healthy
Iggie     	0	M	red purple          	Healthy
Reade     	0	M	candy pink          	Healthy
Kriste    	0	F	candy pink          	Healthy
Dolly     	0	F	red purple          	Healthy
Ragnar    	0	M	candy pink          	Healthy
------------------------------------------------------------------------
Cherey    	9	F	red purple          	Healthy
Tremain   	9	M	candy pink          	Healthy
Agace     	8	F	red purple          	Healthy
Orsola    	8	F	candy pink          	Healthy
Shina     	7	F	red purple          	Healthy
Coralie   	7	F	candy pink          	Healthy
Colet     	7	M	red purple          	Healthy
Brendis   	6	M	red purple          	Healthy
Trude     	6	F	candy pink          	Healthy
Dugald    	6	M	red purple          	Healthy
Dulce     	6	F	red purple          	Healthy
Padriac   	6	M	candy pink          	Healthy
Collen    	5	F	red purple          	Healthy
Austen    	5	M	candy pink          	Healthy
Haily     	5	M	red purple          	Healthy
Jorgan    	5	M	red purple          	Healthy
Hyman     	5	M	candy pink          	Healthy
Riobard   	5	M	red purple          	Healthy
Christal  	5	F	candy pink          	Healthy
Robinette 	4	F	red purple          	Healthy
Renault   	4	M	candy pink          	Healthy
Kinnie    	4	M	red purple          	Healthy
Kit       	4	M	red purple          	Healthy
Lavina    	4	F	candy pink          	Healthy
Hartley   	4	M	red purple          	Healthy
Nelia     	4	F	candy pink          	Healthy
Etan      	4	M	candy pink          	Healthy
Gertrud   	4	F	red purple          	Healthy
Camellia  	3	F	red purple          	Healthy
Hazel     	3	F	candy pink          	Healthy
Hali      	3	F	red purple          	Healthy
Bambie    	3	F	red purple          	Healthy
Padriac   	3	M	candy pink          	Healthy
Celka     	3	F	red purple          	Healthy
Charis    	3	F	candy pink          	Healthy
Clo       	3	F	candy pink          	Healthy
Sloan     	3	M	red purple          	Healthy
Anna-Maria	3	F	red purple          	Healthy
Stormy    	3	F	candy pink          	Healthy
Irwinn    	2	M	red purple          	Healthy
Hobard    	2	M	candy pink          	Healthy
Trey      	2	M	red purple          	Healthy
Jewel     	2	F	red purple          	Healthy
Reginauld 	2	M	candy pink          	Healthy
Marcelline	2	F	red purple          	Healthy
Jeramie   	2	M	candy pink          	Healthy
Rollie    	2	M	candy pink          	Healthy
Paolina   	2	F	red purple          	Healthy
Anton     	2	M	red purple          	Healthy
Libby     	2	F	candy pink          	Healthy
Chance    	2	M	red purple          	Healthy
Shir      	2	F	candy pink          	Healthy
Dena      	2	F	candy pink          	Healthy
Elsa      	2	F	red purple          	Healthy
Meredithe 	1	F	red purple          	Healthy
Margie    	1	F	candy pink          	Healthy
Alejoa    	1	M	red purple          	Healthy
Edin      	1	F	red purple          	Healthy
Robb      	1	M	candy pink          	Healthy
Marcellina	1	F	red purple          	Healthy
Lorenzo   	1	M	candy pink          	Healthy
Angy      	1	F	candy pink          	Healthy
Ellie     	1	F	red purple          	Healthy
Almira    	1	F	red purple          	Healthy
Jimmy     	1	M	candy pink          	Healthy
Garnette  	1	F	red purple          	Healthy
Massimiliano	1	M	candy pink          	Healthy
Kincaid   	1	M	candy pink          	Healthy
Lexie     	1	F	red purple          	Healthy
Verene    	1	F	red purple          	Healthy
Launce    	1	M	candy pink          	Healthy
Yettie    	1	F	red purple          	Healthy
Tobiah    	1	M	red purple          	Healthy
Iggie     	1	M	red purple          	Healthy
Reade     	1	M	candy pink          	Healthy
Kriste    	1	F	candy pink          	Healthy
Dolly     	1	F	red purple          	Healthy
Ragnar    	1	M	candy pink          	Healthy
Mikkel    	0	M	red purple          	Healthy
Aprilette 	0	F	red purple          	Healthy
Alasdair  	0	M	candy pink          	Healthy
Haskell   	0	M	red purple          	Healthy
Wheeler   	0	M	candy pink          	Healthy
Cindee    	0	F	candy pink          	Healthy
Madelene  	0	F	red purple          	Healthy
Lenore    	0	F	red purple          	Healthy
Aube      	0	M	candy pink          	Healthy
Micheal   	0	M	red purple          	Healthy
Glennie   	0	F	candy pink          	Healthy
Bernhard  	0	M	candy pink          	Healthy
Hayward   	0	M	red purple          	Healthy
Forrester 	0	M	red purple          	Healthy
Denyse    	0	F	candy pink          	Healthy
Susanetta 	0	F	red purple          	Healthy
Elga      	0	F	red purple          	Healthy
Cecil     	0	F	red purple          	Healthy
Robers    	0	M	candy pink          	Healthy
Florie    	0	F	candy pink          	Healthy
Ricki     	0	F	red purple          	Healthy
Claudia   	0	F	candy pink          	Healthy
Helaine   	0	F	red purple          	Healthy
Brook     	0	F	red purple          	Healthy
Kippy     	0	F	red purple          	Healthy
Janella   	0	F	candy pink          	Healthy
Thedrick  	0	M	candy pink          	Healthy
Mary      	0	F	candy pink          	Healthy
Ludovika  	0	F	red purple          	Healthy
------------------------------------------------------------------------
Cherey    	10	F	red purple          	Healthy
Tremain   	10	M	candy pink          	Healthy
Agace     	9	F	red purple          	Healthy
Orsola    	9	F	candy pink          	Healthy
Shina     	8	F	red purple          	Healthy
Coralie   	8	F	candy pink          	Healthy
Colet     	8	M	red purple          	Healthy
Brendis   	7	M	red purple          	Healthy
Trude     	7	F	candy pink          	Healthy
Dugald    	7	M	red purple          	Healthy
Dulce     	7	F	red purple          	Healthy
Padriac   	7	M	candy pink          	Healthy
Collen    	6	F	red purple          	Healthy
Austen    	6	M	candy pink          	Healthy
Haily     	6	M	red purple          	Healthy
Jorgan    	6	M	red purple          	Healthy
Hyman     	6	M	candy pink          	Healthy
Riobard   	6	M	red purple          	Healthy
Christal  	6	F	candy pink          	Healthy
Robinette 	5	F	red purple          	Healthy
Renault   	5	M	candy pink          	Healthy
Kinnie    	5	M	red purple          	Healthy
Kit       	5	M	red purple          	Healthy
Lavina    	5	F	candy pink          	Healthy
Hartley   	5	M	red purple          	Healthy
Nelia     	5	F	candy pink          	Healthy
Etan      	5	M	candy pink          	Healthy
Gertrud   	5	F	red purple          	Healthy
Camellia  	4	F	red purple          	Healthy
Hazel     	4	F	candy pink          	Healthy
Hali      	4	F	red purple          	Healthy
Bambie    	4	F	red purple          	Healthy
Padriac   	4	M	candy pink          	Healthy
Celka     	4	F	red purple          	Healthy
Charis    	4	F	candy pink          	Healthy
Clo       	4	F	candy pink          	Healthy
Sloan     	4	M	red purple          	Healthy
Anna-Maria	4	F	red purple          	Healthy
Stormy    	4	F	candy pink          	Healthy
Irwinn    	3	M	red purple          	Healthy
Hobard    	3	M	candy pink          	Healthy
Trey      	3	M	red purple          	Healthy
Jewel     	3	F	red purple          	Healthy
Reginauld 	3	M	candy pink          	Healthy
Marcelline	3	F	red purple          	Healthy
Jeramie   	3	M	candy pink          	Healthy
Rollie    	3	M	candy pink          	Healthy
Paolina   	3	F	red purple          	Healthy
Anton     	3	M	red purple          	Healthy
Libby     	3	F	candy pink          	Healthy
Chance    	3	M	red purple          	Healthy
Shir      	3	F	candy pink          	Healthy
Dena      	3	F	candy pink          	Healthy
Elsa      	3	F	red purple          	Healthy
Meredithe 	2	F	red purple          	Healthy
Margie    	2	F	candy pink          	Healthy
Alejoa    	2	M	red purple          	Healthy
Edin      	2	F	red purple          	Healthy
Robb      	2	M	candy pink          	Healthy
Marcellina	2	F	red purple          	Healthy
Lorenzo   	2	M	candy pink          	Healthy
Angy      	2	F	candy pink          	Healthy
Ellie     	2	F	red purple          	Healthy
Almira    	2	F	red purple          	Healthy
Jimmy     	2	M	candy pink          	Healthy
Garnette  	2	F	red purple          	Healthy
Massimiliano	2	M	candy pink          	Healthy
Kincaid   	2	M	candy pink          	Healthy
Lexie     	2	F	red purple          	Healthy
Verene    	2	F	red purple          	Healthy
Launce    	2	M	candy pink          	Healthy
Yettie    	2	F	red purple          	Healthy
Tobiah    	2	M	red purple          	Healthy
Iggie     	2	M	red purple          	Healthy
Reade     	2	M	candy pink          	Healthy
Kriste    	2	F	candy pink          	Healthy
Dolly     	2	F	red purple          	Healthy
Ragnar    	2	M	candy pink          	Healthy
Mikkel    	1	M	red purple          	Healthy
Aprilette 	1	F	red purple          	Healthy
Alasdair  	1	M	candy pink          	Healthy
Haskell   	1	M	red purple          	Healthy
Wheeler   	1	M	candy pink          	Healthy
Cindee    	1	F	candy pink          	Healthy
Madelene  	1	F	red purple          	Healthy
Lenore    	1	F	red purple          	Healthy
Aube      	1	M	candy pink          	Healthy
Micheal   	1	M	red purple          	Healthy
Glennie   	1	F	candy pink          	Healthy
Bernhard  	1	M	candy pink          	Healthy
Hayward   	1	M	red purple          	Healthy
Forrester 	1	M	red purple          	Healthy
Denyse    	1	F	candy pink          	Healthy
Susanetta 	1	F	red purple          	Healthy
Elga      	1	F	red purple          	Healthy
Cecil     	1	F	red purple          	Healthy
Robers    	1	M	candy pink          	Healthy
Florie    	1	F	candy pink          	Healthy
Ricki     	1	F	red purple          	Healthy
Claudia   	1	F	candy pink          	Healthy
Helaine   	1	F	red purple          	Healthy
Brook     	1	F	red purple          	Healthy
Kippy     	1	F	red purple          	Healthy
Janella   	1	F	candy pink          	Healthy
Thedrick  	1	M	candy pink          	Healthy
Mary      	1	F	candy pink          	Healthy
Ludovika  	1	F	red purple          	Healthy
Deloria   	0	F	red purple          	Healthy
Orelie    	0	F	red purple          	Healthy
Kaitlin   	0	F	candy pink          	Healthy
Malia     	0	F	red purple          	Healthy
Pietro    	0	M	candy pink          	Healthy
Kincaid   	0	M	candy pink          	Healthy
Guthrie   	0	M	red purple          	Healthy
Kerk      	0	M	red purple          	Healthy
Carney    	0	M	candy pink          	Healthy
Immanuel  	0	M	candy pink          	Healthy
Willem    	0	M	candy pink          	Healthy
Holli     	0	F	red purple          	Healthy
Orlando   	0	M	red purple          	Healthy
Hinze     	0	M	candy pink          	Healthy
Huntington	0	M	red purple          	Healthy
Stephana  	0	F	red purple          	Healthy
Margo     	0	F	candy pink          	Healthy
Calhoun   	0	M	candy pink          	Healthy
Alf       	0	M	red purple          	Healthy
Adelheid  	0	F	candy pink          	Healthy
Kaitlyn   	0	F	red purple          	Healthy
Stanton   	0	M	red purple          	Healthy
Domenico  	0	M	red purple          	Healthy
Gerrilee  	0	F	candy pink          	Healthy
Monika    	0	F	candy pink          	Healthy
Nettie    	0	F	candy pink          	Healthy
Annis     	0	F	red purple          	Healthy
Elmira    	0	F	red purple          	Healthy
Jarid     	0	M	candy pink          	Healthy
Kimball   	0	M	red purple          	Healthy
Maggi     	0	F	red purple          	Healthy
Siana     	0	F	candy pink          	Healthy
Abagael   	0	F	red purple          	Healthy
Crysta    	0	F	red purple          	Healthy
Thornton  	0	M	red purple          	Healthy
Etienne   	0	M	red purple          	Healthy
Jeramie   	0	M	candy pink          	Healthy
Emmery    	0	M	red purple          	Healthy
------------------------------------------------------------------------
Agace     	10	F	red purple          	Healthy
Orsola    	10	F	candy pink          	Healthy
Shina     	9	F	red purple          	Healthy
Coralie   	9	F	candy pink          	Healthy
Colet     	9	M	red purple          	Healthy
Brendis   	8	M	red purple          	Healthy
Trude     	8	F	candy pink          	Healthy
Dugald    	8	M	red purple          	Healthy
Dulce     	8	F	red purple          	Healthy
Padriac   	8	M	candy pink          	Healthy
Collen    	7	F	red purple          	Healthy
Austen    	7	M	candy pink          	Healthy
Haily     	7	M	red purple          	Healthy
Jorgan    	7	M	red purple          	Healthy
Hyman     	7	M	candy pink          	Healthy
Riobard   	7	M	red purple          	Healthy
Christal  	7	F	candy pink          	Healthy
Robinette 	6	F	red purple          	Healthy
Renault   	6	M	candy pink          	Healthy
Kinnie    	6	M	red purple          	Healthy
Kit       	6	M	red purple          	Healthy
Lavina    	6	F	candy pink          	Healthy
Hartley   	6	M	red purple          	Healthy
Nelia     	6	F	candy pink          	Healthy
Etan      	6	M	candy pink          	Healthy
Gertrud   	6	F	red purple          	Healthy
Camellia  	5	F	red purple          	Healthy
Hazel     	5	F	candy pink          	Healthy
Hali      	5	F	red purple          	Healthy
Bambie    	5	F	red purple          	Healthy
Padriac   	5	M	candy pink          	Healthy
Celka     	5	F	red purple          	Healthy
Charis    	5	F	candy pink          	Healthy
Clo       	5	F	candy pink          	Healthy
Sloan     	5	M	red purple          	Healthy
Anna-Maria	5	F	red purple          	Healthy
Stormy    	5	F	candy pink          	Healthy
Irwinn    	4	M	red purple          	Healthy
Hobard    	4	M	candy pink          	Healthy
Trey      	4	M	red purple          	Healthy
Jewel     	4	F	red purple          	Healthy
Reginauld 	4	M	candy pink          	Healthy
Marcelline	4	F	red purple          	Healthy
Jeramie   	4	M	candy pink          	Healthy
Rollie    	4	M	candy pink          	Healthy
Paolina   	4	F	red purple          	Healthy
Anton     	4	M	red purple          	Healthy
Libby     	4	F	candy pink          	Healthy
Chance    	4	M	red purple          	Healthy
Shir      	4	F	candy pink          	Healthy
Dena      	4	F	candy pink          	Healthy
Elsa      	4	F	red purple          	Healthy
Meredithe 	3	F	red purple          	Healthy
Margie    	3	F	candy pink          	Healthy
Alejoa    	3	M	red purple          	Healthy
Edin      	3	F	red purple          	Healthy
Robb      	3	M	candy pink          	Healthy
Marcellina	3	F	red purple          	Healthy
Lorenzo   	3	M	candy pink          	Healthy
Angy      	3	F	candy pink          	Healthy
Ellie     	3	F	red purple          	Healthy
Almira    	3	F	red purple          	Healthy
Jimmy     	3	M	candy pink          	Healthy
Garnette  	3	F	red purple          	Healthy
Massimiliano	3	M	candy pink          	Healthy
Kincaid   	3	M	candy pink          	Healthy
Lexie     	3	F	red purple          	Healthy
Verene    	3	F	red purple          	Healthy
Launce    	3	M	candy pink          	Healthy
Yettie    	3	F	red purple          	Healthy
Tobiah    	3	M	red purple          	Healthy
Iggie     	3	M	red purple          	Healthy
Reade     	3	M	candy pink          	Healthy
Kriste    	3	F	candy pink          	Healthy
Dolly     	3	F	red purple          	Healthy
Ragnar    	3	M	candy pink          	Healthy
Mikkel    	2	M	red purple          	Healthy
Aprilette 	2	F	red purple          	Healthy
Alasdair  	2	M	candy pink          	Healthy
Haskell   	2	M	red purple          	Healthy
Wheeler   	2	M	candy pink          	Healthy
Cindee    	2	F	candy pink          	Healthy
Madelene  	2	F	red purple          	Healthy
Lenore    	2	F	red purple          	Healthy
Aube      	2	M	candy pink          	Healthy
Micheal   	2	M	red purple          	Healthy
Glennie   	2	F	candy pink          	Healthy
Bernhard  	2	M	candy pink          	Healthy
Hayward   	2	M	red purple          	Healthy
Forrester 	2	M	red purple          	Healthy
Denyse    	2	F	candy pink          	Healthy
Susanetta 	2	F	red purple          	Healthy
Elga      	2	F	red purple          	Healthy
Cecil     	2	F	red purple          	Healthy
Robers    	2	M	candy pink          	Healthy
Florie    	2	F	candy pink          	Healthy
Ricki     	2	F	red purple          	Healthy
Claudia   	2	F	candy pink          	Healthy
Helaine   	2	F	red purple          	Healthy
Brook     	2	F	red purple          	Healthy
Kippy     	2	F	red purple          	Healthy
Janella   	2	F	candy pink          	Healthy
Thedrick  	2	M	candy pink          	Healthy
Mary      	2	F	candy pink          	Healthy
Ludovika  	2	F	red purple          	Healthy
Deloria   	1	F	red purple          	Healthy
Orelie    	1	F	red purple          	Healthy
Kaitlin   	1	F	candy pink          	Healthy
Malia     	1	F	red purple          	Healthy
Pietro    	1	M	candy pink          	Healthy
Kincaid   	1	M	candy pink          	Healthy
Guthrie   	1	M	red purple          	Healthy
Kerk      	1	M	red purple          	Healthy
Carney    	1	M	candy pink          	Healthy
Immanuel  	1	M	candy pink          	Healthy
Willem    	1	M	candy pink          	Healthy
Holli     	1	F	red purple          	Healthy
Orlando   	1	M	red purple          	Healthy
Hinze     	1	M	candy pink          	Healthy
Huntington	1	M	red purple          	Healthy
Stephana  	1	F	red purple          	Healthy
Margo     	1	F	candy pink          	Healthy
Calhoun   	1	M	candy pink          	Healthy
Alf       	1	M	red purple          	Healthy
Adelheid  	1	F	candy pink          	Healthy
Kaitlyn   	1	F	red purple          	Healthy
Stanton   	1	M	red purple          	Healthy
Domenico  	1	M	red purple          	Healthy
Gerrilee  	1	F	candy pink          	Healthy
Monika    	1	F	candy pink          	Healthy
Nettie    	1	F	candy pink          	Healthy
Annis     	1	F	red purple          	Healthy
Elmira    	1	F	red purple          	Healthy
Jarid     	1	M	candy pink          	Healthy
