
Ramsey    	1	M	muted purple        	Healthy
Abagael   	1	F	iris                	Healthy
Eli       	1	M	brownish orange     	Healthy
Viviene   	1	F	canary yellow       	Healthy
Ronnie    	1	M	hot green           	Healthy
Ogdan     	1	M	iris                	Healthy
Geralda   	1	F	hot green           	Healthy
Rhetta    	1	F	iris                	Healthy
Perry     	1	F	brownish orange     	Healthy
Winslow   	1	M	canary yellow       	Healthy
Prudi     	0	F	iris                	Healthy
Keeley    	0	F	brownish orange     	Healthy
Thom      	0	M	canary yellow       	Healthy
Cirilo    	0	M	hot green           	Healthy
Thatch    	0	M	iris                	Healthy
Merv      	0	M	hot green           	Healthy
Gian      	0	M	iris                	Healthy
Charin    	0	F	brownish orange     	Healthy
Joyan     	0	F	canary yellow       	Healthy
Berty     	0	M	canary yellow       	Healthy
Ryan      	0	M	hot green           	Healthy
Talbot    	0	M	iris                	Healthy
Lindsey   	0	F	brownish orange     	Healthy
------------------------------------------------------------------------
Ramsey    	8	M	muted purple        	Healthy
Phebe     	8	F	iris                	Healthy
Damara    	8	F	brownish orange     	Healthy
Agnella   	8	F	canary yellow       	Healthy
Lonna     	8	F	hot green           	Healthy
Rosemary  	6	F	iris                	Healthy
Vern      	6	M	brownish orange     	Healthy
Jud       	6	M	canary yellow       	Healthy
Ronnie    	6	F	hot green           	Healthy
Nariko    	5	F	iris                	Healthy
Gilda     	5	F	brownish orange     	Healthy
Elmo      	5	M	canary yellow       	Healthy
Gilberto  	5	M	hot green           	Healthy
Pietro    	4	M	iris                	Healthy
Griffith  	4	M	brownish orange     	Healthy
Karmen    	4	F	canary yellow       	Healthy
Sancho    	4	M	hot green           	Healthy
Darnall   	4	M	iris                	Healthy
Kenn      	4	M	hot green           	Healthy
Bertram   	3	M	iris                	Healthy
Sax       	3	M	brownish orange     	Healthy
Rhetta    	3	F	canary yellow       	Healthy
Vikki     	3	F	hot green           	Healthy
Keary     	3	M	iris                	Healthy
Clem      	3	M	hot green           	Healthy
Alexine   	3	F	iris                	Healthy
Allis     	3	F	brownish orange     	Healthy
Abagael   	2	F	iris                	Healthy
Eli       	2	M	brownish orange     	Healthy
Viviene   	2	F	canary yellow       	Healthy
Ronnie    	2	M	hot green           	Healthy
Ogdan     	2	M	iris                	Healthy
Geralda   	2	F	hot green           	Healthy
Rhetta    	2	F	iris                	Healthy
Perry     	2	F	brownish orange     	Healthy
Winslow   	2	M	canary yellow       	Healthy
Prudi     	1	F	iris                	Healthy
Keeley    	1	F	brownish orange     	Healthy
Thom      	1	M	canary yellow       	Healthy
Cirilo    	1	M	hot green           	Healthy
Thatch    	1	M	iris                	Healthy
Merv      	1	M	hot green           	Healthy
Gian      	1	M	iris                	Healthy
Charin    	1	F	brownish orange     	Healthy
Joyan     	1	F	canary yellow       	Healthy
Berty     	1	M	canary yellow       	Healthy
Ryan      	1	M	hot green           	Healthy
Talbot    	1	M	iris                	Healthy
Lindsey   	1	F	brownish orange     	Healthy
Denise    	0	F	iris                	Healthy
Quintana  	0	F	brownish orange     	Healthy
Pepito    	0	M	canary yellow       	Healthy
Oralee    	0	F	hot green           	Healthy
Barbara-Anne	0	F	iris                	Healthy
Dina      	0	F	hot green           	Healthy
Eustacia  	0	F	iris                	Healthy
Jilly     	0	F	brownish orange     	Healthy
Carolee   	0	F	canary yellow       	Healthy
Haskell   	0	M	canary yellow       	Healthy
Scottie   	0	M	hot green           	Healthy
Sydel     	0	F	iris                	Healthy
Ninetta   	0	F	brownish orange     	Healthy
Vivian    	0	F	iris                	Healthy
Rowan     	0	M	canary yellow       	Healthy
Faina     	0	F	hot green           	Healthy
Consuelo  	0	F	iris                	Healthy
Janine    	0	F	brownish orange     	Healthy
------------------------------------------------------------------------
Ramsey    	9	M	muted purple        	Healthy
Phebe     	9	F	iris                	Healthy
Damara    	9	F	brownish orange     	Healthy
Agnella   	9	F	canary yellow       	Healthy
Lonna     	9	F	hot green           	Healthy
Rosemary  	7	F	iris                	Healthy
Vern      	7	M	brownish orange     	Healthy
Jud       	7	M	canary yellow       	Healthy
Ronnie    	7	F	hot green           	Healthy
Nariko    	6	F	iris                	Healthy
Gilda     	6	F	brownish orange     	Healthy
Elmo      	6	M	canary yellow       	Healthy
Gilberto  	6	M	hot green           	Healthy
Pietro    	5	M	iris                	Healthy
Griffith  	5	M	brownish orange     	Healthy
Karmen    	5	F	canary yellow       	Healthy
Sancho    	5	M	hot green           	Healthy
Darnall   	5	M	iris                	Healthy
Kenn      	5	M	hot green           	Healthy
Bertram   	4	M	iris                	Healthy
Sax       	4	M	brownish orange     	Healthy
Rhetta    	4	F	canary yellow       	Healthy
Vikki     	4	F	hot green           	Healthy
Keary     	4	M	iris                	Healthy
Clem      	4	M	hot green           	Healthy
Alexine   	4	F	iris                	Healthy
Allis     	4	F	brownish orange     	Healthy
Abagael   	3	F	iris                	Healthy
Eli       	3	M	brownish orange     	Healthy
Viviene   	3	F	canary yellow       	Healthy
Ronnie    	3	M	hot green           	Healthy
Ogdan     	3	M	iris                	Healthy
Geralda   	3	F	hot green           	Healthy
Rhetta    	3	F	iris                	Healthy
Perry     	3	F	brownish orange     	Healthy
Winslow   	3	M	canary yellow       	Healthy
Prudi     	2	F	iris                	Healthy
Keeley    	2	F	brownish orange     	Healthy
Thom      	2	M	canary yellow       	Healthy
Cirilo    	2	M	hot green           	Healthy
Thatch    	2	M	iris                	Healthy
Merv      	2	M	hot green           	Healthy
Gian      	2	M	iris                	Healthy
Charin    	2	F	brownish orange     	Healthy
Joyan     	2	F	canary yellow       	Healthy
Berty     	2	M	canary yellow       	Healthy
Ryan      	2	M	hot green           	Healthy
Talbot    	2	M	iris                	Healthy
Lindsey   	2	F	brownish orange     	Healthy
Denise    	1	F	iris                	Healthy
Quintana  	1	F	brownish orange     	Healthy
Pepito    	1	M	canary yellow       	Healthy
Oralee    	1	F	hot green           	Healthy
Barbara-Anne	1	F	iris                	Healthy
Dina      	1	F	hot green           	Healthy
Eustacia  	1	F	iris                	Healthy
Jilly     	1	F	brownish orange     	Healthy
Carolee   	1	F	canary yellow       	Healthy
Haskell   	1	M	canary yellow       	Healthy
Scottie   	1	M	hot green           	Healthy
Sydel     	1	F	iris                	Healthy
Ninetta   	1	F	brownish orange     	Healthy
Vivian    	1	F	iris                	Healthy
Rowan     	1	M	canary yellow       	Healthy
Faina     	1	F	hot green           	Healthy
Consuelo  	1	F	iris                	Healthy
Janine    	1	F	brownish orange     	Healthy
Lorne     	0	M	iris                	Healthy
Willi     	0	F	brownish orange     	Healthy
Inger     	0	M	canary yellow       	Healthy
Alexis    	0	M	hot green           	Healthy
Dwain     	0	M	iris                	Healthy
Zebulon   	0	M	hot green           	Healthy
Janeen    	0	F	iris                	Healthy
Anton     	0	M	brownish orange     	Healthy
Vassily   	0	M	canary yellow       	Healthy
Delano    	0	M	canary yellow       	Healthy
Brendon   	0	M	hot green           	Healthy
Justin    	0	M	iris                	Healthy
Sophia    	0	F	brownish orange     	Healthy
Earvin    	0	M	iris                	Healthy
Jinny     	0	F	canary yellow       	Healthy
Ugo       	0	M	hot green           	Healthy
Cloe      	0	F	iris                	Healthy
Lief      	0	M	brownish orange     	Healthy
Judon     	0	M	iris                	Healthy
Manon     	0	F	brownish orange     	Healthy
Darrin    	0	M	brownish orange     	Healthy
Erinn     	0	F	canary yellow       	Healthy
Betti     	0	F	brownish orange     	Healthy
------------------------------------------------------------------------
Ramsey    	10	M	muted purple        	Healthy
Phebe     	10	F	iris                	Healthy
Damara    	10	F	brownish orange     	Healthy
Agnella   	10	F	canary yellow       	Healthy
Lonna     	10	F	hot green           	Healthy
Rosemary  	8	F	iris                	Healthy
Vern      	8	M	brownish orange     	Healthy
Jud       	8	M	canary yellow       	Healthy
Ronnie    	8	F	hot green           	Healthy
Nariko    	7	F	iris                	Healthy
Gilda     	7	F	brownish orange     	Healthy
Elmo      	7	M	canary yellow       	Healthy
Gilberto  	7	M	hot green           	Healthy
Pietro    	6	M	iris                	Healthy
Griffith  	6	M	brownish orange     	Healthy
Karmen    	6	F	canary yellow       	Healthy
Sancho    	6	M	hot green           	Healthy
Darnall   	6	M	iris                	Healthy
Kenn      	6	M	hot green           	Healthy
Bertram   	5	M	iris                	Healthy
Sax       	5	M	brownish orange     	Healthy
Rhetta    	5	F	canary yellow       	Healthy
Vikki     	5	F	hot green           	Healthy
Keary     	5	M	iris                	Healthy
Clem      	5	M	hot green           	Healthy
Alexine   	5	F	iris                	Healthy
Allis     	5	F	brownish orange     	Healthy
Abagael   	4	F	iris                	Healthy
Eli       	4	M	brownish orange     	Healthy
Viviene   	4	F	canary yellow       	Healthy
Ronnie    	4	M	hot green           	Healthy
Ogdan     	4	M	iris                	Healthy
Geralda   	4	F	hot green           	Healthy
Rhetta    	4	F	iris                	Healthy
Perry     	4	F	brownish orange     	Healthy
Winslow   	4	M	canary yellow       	Healthy
Prudi     	3	F	iris                	Healthy
Keeley    	3	F	brownish orange     	Healthy
Thom      	3	M	canary yellow       	Healthy
Cirilo    	3	M	hot green           	Healthy
Thatch    	3	M	iris                	Healthy
Merv      	3	M	hot green           	Healthy
Gian      	3	M	iris                	Healthy
Charin    	3	F	brownish orange     	Healthy
Joyan     	3	F	canary yellow       	Healthy
Berty     	3	M	canary yellow       	Healthy
Ryan      	3	M	hot green           	Healthy
Talbot    	3	M	iris                	Healthy
Lindsey   	3	F	brownish orange     	Healthy
Denise    	2	F	iris                	Healthy
Quintana  	2	F	brownish orange     	Healthy
Pepito    	2	M	canary yellow       	Healthy
Oralee    	2	F	hot green           	Healthy
Barbara-Anne	2	F	iris                	Healthy
Dina      	2	F	hot green           	Healthy
Eustacia  	2	F	iris                	Healthy
Jilly     	2	F	brownish orange     	Healthy
Carolee   	2	F	canary yellow       	Healthy
Haskell   	2	M	canary yellow       	Healthy
Scottie   	2	M	hot green           	Healthy
Sydel     	2	F	iris                	Healthy
Ninetta   	2	F	brownish orange     	Healthy
Vivian    	2	F	iris                	Healthy
Rowan     	2	M	canary yellow       	Healthy
Faina     	2	F	hot green           	Healthy
Consuelo  	2	F	iris                	Healthy
Janine    	2	F	brownish orange     	Healthy
Lorne     	1	M	iris                	Healthy
Willi     	1	F	brownish orange     	Healthy
Inger     	1	M	canary yellow       	Healthy
Alexis    	1	M	hot green           	Healthy
Dwain     	1	M	iris                	Healthy
Zebulon   	1	M	hot green           	Healthy
Janeen    	1	F	iris                	Healthy
Anton     	1	M	brownish orange     	Healthy
Vassily   	1	M	canary yellow       	Healthy
Delano    	1	M	canary yellow       	Healthy
Brendon   	1	M	hot green           	Healthy
Justin    	1	M	iris                	Healthy
Sophia    	1	F	brownish orange     	Healthy
Earvin    	1	M	iris                	Healthy
Jinny     	1	F	canary yellow       	Healthy
Ugo       	1	M	hot green           	Healthy
Cloe      	1	F	iris                	Healthy
Lief      	1	M	brownish orange     	Healthy
Judon     	1	M	iris                	Healthy
Manon     	1	F	brownish orange     	Healthy
Darrin    	1	M	brownish orange     	Healthy
Erinn     	1	F	canary yellow       	Healthy
Betti     	1	F	brownish orange     	Healthy
Lilla     	0	F	iris                	Healthy
Timmi     	0	F	brownish orange     	Healthy
Lilah     	0	F	canary yellow       	Healthy
Nevsa     	0	F	hot green           	Healthy
Brunhilda 	0	F	iris                	Healthy
Nichols   	0	M	hot green           	Healthy
Spencer   	0	M	iris                	Healthy
Angie     	0	M	brownish orange     	Healthy
Alanna    	0	F	canary yellow       	Healthy
Riccardo  	0	M	canary yellow       	Healthy
Elset     	0	F	hot green           	Healthy
Elisha    	0	F	iris                	Healthy
Yuma      	0	M	brownish orange     	Healthy
Barri     	0	M	iris                	Healthy
Johnathon 	0	M	canary yellow       	Healthy
Cynthie   	0	F	hot green           	Healthy
Franciska 	0	F	iris                	Healthy
Giacopo   	0	M	brownish orange     	Healthy
Franni    	0	F	iris                	Healthy
Annamaria 	0	F	brownish orange     	Healthy
Chiquita  	0	F	brownish orange     	Healthy
Gerri     	0	M	canary yellow       	Healthy
Elnora    	0	F	brownish orange     	Healthy
Griffie   	0	M	iris                	Healthy
Umberto   	0	M	brownish orange     	Healthy
Sandro    	0	M	hot green           	Healthy
Leonore   	0	F	iris                	Healthy
Gerianne  	0	F	hot green           	Healthy
Ester     	0	F	iris                	Healthy
Irvin     	0	M	brownish orange     	Healthy
Sada      	0	F	canary yellow       	Healthy
Dilan     	0	M	iris                	Healthy
Corrianne 	0	F	brownish orange     	Healthy
Bealle    	0	M	iris                	Healthy
Efrem     	0	M	hot green           	Healthy
Jillene   	0	F	iris                	Healthy
Thelma    	0	F	brownish orange     	Radioactive
------------------------------------------------------------------------
Rosemary  	9	F	iris                	Healthy
Vern      	9	M	brownish orange     	Healthy
Jud       	9	M	canary yellow       	Healthy
Ronnie    	9	F	hot green           	Healthy
Nariko    	8	F	iris                	Healthy
Gilda     	8	F	brownish orange     	Healthy
Elmo      	8	M	canary yellow       	Healthy
Gilberto  	8	M	hot green           	Healthy
Pietro    	7	M	iris                	Healthy
Griffith  	7	M	brownish orange     	Healthy
Karmen    	7	F	canary yellow       	Healthy
Sancho    	7	M	hot green           	Healthy
Darnall   	7	M	iris                	Healthy
Kenn      	7	M	hot green           	Healthy
Bertram   	6	M	iris                	Healthy
Sax       	6	M	brownish orange     	Healthy
Rhetta    	6	F	canary yellow       	Healthy
Vikki     	6	F	hot green           	Healthy
Keary     	6	M	iris                	Healthy
Clem      	6	M	hot green           	Healthy
Alexine   	6	F	iris                	Healthy
Allis     	6	F	brownish orange     	Healthy
Abagael   	5	F	iris                	Healthy
Eli       	5	M	brownish orange     	Healthy
Viviene   	5	F	canary yellow       	Healthy
Ronnie    	5	M	hot green           	Healthy
Ogdan     	5	M	iris                	Healthy
Geralda   	5	F	hot green           	Healthy
Rhetta    	5	F	iris                	Healthy
Perry     	5	F	brownish orange     	Radioactive
Winslow   	5	M	canary yellow       	Healthy
Prudi     	4	F	iris                	Healthy
Keeley    	4	F	brownish orange     	Healthy
Thom      	4	M	canary yellow       	Healthy
Cirilo    	4	M	hot green           	Healthy
Thatch    	4	M	iris                	Healthy
Merv      	4	M	hot green           	Healthy
Gian      	4	M	iris                	Healthy
Charin    	4	F	brownish orange     	Healthy
Joyan     	4	F	canary yellow       	Healthy
Berty     	4	M	canary yellow       	Healthy
Ryan      	4	M	hot green           	Healthy
Talbot    	4	M	iris                	Healthy
Lindsey   	4	F	brownish orange     	Healthy
Denise    	3	F	iris                	Healthy
Quintana  	3	F	brownish orange     	Healthy
Pepito    	3	M	canary yellow       	Healthy
Oralee    	3	F	hot green           	Healthy
Barbara-Anne	3	F	iris                	Healthy
Dina      	3	F	hot green           	Healthy
Eustacia  	3	F	iris                	Healthy
Jilly     	3	F	brownish orange     	Healthy
Carolee   	3	F	canary yellow       	Healthy
Haskell   	3	M	canary yellow       	Healthy
Scottie   	3	M	hot green           	Healthy
Sydel     	3	F	iris                	Healthy
Ninetta   	3	F	brownish orange     	Healthy
Vivian    	3	F	iris                	Healthy
Rowan     	3	M	canary yellow       	Healthy
Faina     	3	F	hot green           	Healthy
Consuelo  	3	F	iris                	Healthy
Janine    	3	F	brownish orange     	Healthy
Lorne     	2	M	iris                	Healthy
Willi     	2	F	brownish orange     	Healthy
Inger     	2	M	canary yellow       	Healthy
Alexis    	2	M	hot green           	Healthy
Dwain     	2	M	iris                	Healthy
Zebulon   	2	M	hot green           	Healthy
Janeen    	2	F	iris                	Healthy
Anton     	2	M	brownish orange     	Healthy
Vassily   	2	M	canary yellow       	Healthy
Delano    	2	M	canary yellow       	Healthy
Brendon   	2	M	hot green           	Healthy
Justin    	2	M	iris                	Healthy
Sophia    	2	F	brownish orange     	Healthy
Earvin    	2	M	iris                	Healthy
Jinny     	2	F	canary yellow       	Healthy
Ugo       	2	M	hot green           	Healthy
Cloe      	2	F	iris                	Healthy
Lief      	2	M	brownish orange     	Healthy
Judon     	2	M	iris                	Healthy
Manon     	2	F	brownish orange     	Healthy
Darrin    	2	M	brownish orange     	Healthy
Erinn     	2	F	canary yellow       	Healthy
Betti     	2	F	brownish orange     	Healthy
Lilla     	1	F	iris                	Healthy
Timmi     	1	F	brownish orange     	Healthy
Lilah     	1	F	canary yellow       	Healthy
Nevsa     	1	F	hot green           	Healthy
Brunhilda 	1	F	iris                	Healthy
Nichols   	1	M	hot green           	Healthy
Spencer   	1	M	iris                	Healthy
Angie     	1	M	brownish orange     	Healthy
Alanna    	1	F	canary yellow       	Healthy
Riccardo  	1	M	canary yellow       	Healthy
Elset     	1	F	hot green           	Healthy
Elisha    	1	F	iris                	Healthy
Yuma      	1	M	brownish orange     	Healthy
Barri     	1	M	iris                	Healthy
Johnathon 	1	M	canary yellow       	Healthy
Cynthie   	1	F	hot green           	Healthy
Franciska 	1	F	iris                	Healthy
Giacopo   	1	M	brownish orange     	Healthy
Franni    	1	F	iris                	Healthy
Annamaria 	1	F	brownish orange     	Healthy
Chiquita  	1	F	brownish orange     	Healthy
Gerri     	1	M	canary yellow       	Healthy
Elnora    	1	F	brownish orange     	Healthy
Griffie   	1	M	iris                	Healthy
Umberto   	1	M	brownish orange     	Healthy
Sandro    	1	M	hot green           	Healthy
Leonore   	1	F	iris                	Healthy
Gerianne  	1	F	hot green           	Healthy
Ester     	1	F	iris                	Healthy
Irvin     	1	M	brownish orange     	Healthy
Sada      	1	F	canary yellow       	Healthy
Dilan     	1	M	iris                	Healthy
Corrianne 	1	F	brownish orange     	Healthy
Bealle    	1	M	iris                	Healthy
Efrem     	1	M	hot green           	Healthy
Jillene   	1	F	iris                	Healthy
Thelma    	1	F	brownish orange     	Radioactive
Shadow    	0	M	iris                	Healthy
Pennie    	0	M	hot green           	Healthy
Dierdre   	0	F	iris                	Healthy
Evered    	0	M	brownish orange     	Healthy
Tanner    	0	M	canary yellow       	Healthy
Joelle    	0	F	canary yellow       	Healthy
Sigrid    	0	F	hot green           	Healthy
Kori      	0	F	iris                	Healthy
Siegfried 	0	M	brownish orange     	Healthy
Anabella  	0	F	iris                	Healthy
Shae      	0	M	canary yellow       	Healthy
Edgardo   	0	M	hot green           	Healthy
Myrah     	0	F	brownish orange     	Healthy
Leonie    	0	F	iris                	Healthy
Mufi      	0	F	brownish orange     	Healthy
Leora     	0	F	brownish orange     	Healthy
Tonya     	0	F	canary yellow       	Healthy
Em        	0	M	brownish orange     	Healthy
Frants    	0	M	iris                	Healthy
Krissie   	0	F	brownish orange     	Healthy
Hymie     	0	M	hot green           	Healthy
Leesa     	0	F	iris                	Healthy
Giff      	0	M	hot green           	Healthy
Oswell    	0	M	iris                	Healthy
Curran    	0	M	brownish orange     	Healthy
Radcliffe 	0	M	canary yellow       	Healthy
Kristian  	0	M	iris                	Healthy
Kiel      	0	M	brownish orange     	Healthy
Nye       	0	M	hot green           	Healthy
Hester    	0	F	brownish orange     	Healthy
Christabella	0	F	brownish orange     	Healthy
Jacquenetta	0	F	iris                	Healthy
Chevy     	0	M	brownish orange     	Healthy
Delmore   	0	M	canary yellow       	Healthy
Danella   	0	F	iris                	Radioactive
Jeno      	0	M	brownish orange     	Healthy
Violante  	0	F	canary yellow       	Healthy
Archie    	0	M	brownish orange     	Healthy
------------------------------------------------------------------------
Rosemary  	10	F	iris                	Healthy
Vern      	10	M	brownish orange     	Healthy
Jud       	10	M	canary yellow       	Healthy
Ronnie    	10	F	hot green           	Healthy
Nariko    	9	F	iris                	Healthy
Gilda     	9	F	brownish orange     	Healthy
Elmo      	9	M	canary yellow       	Healthy
Gilberto  	9	M	hot green           	Healthy
Pietro    	8	M	iris                	Healthy
Griffith  	8	M	brownish orange     	Healthy
Karmen    	8	F	canary yellow       	Healthy
Sancho    	8	M	hot green           	Healthy
Darnall   	8	M	iris                	Healthy
Kenn      	8	M	hot green           	Healthy
Bertram   	7	M	iris                	Healthy
Sax       	7	M	brownish orange     	Healthy
Rhetta    	7	F	canary yellow       	Healthy
Vikki     	7	F	hot green           	Healthy
Keary     	7	M	iris                	Healthy
Clem      	7	M	hot green           	Healthy
Alexine   	7	F	iris                	Healthy
Allis     	7	F	brownish orange     	Healthy
Abagael   	6	F	iris                	Healthy
Eli       	6	M	brownish orange     	Healthy
Viviene   	6	F	canary yellow       	Healthy
Ronnie    	6	M	hot green           	Healthy
Ogdan     	6	M	iris                	Healthy
Geralda   	6	F	hot green           	Healthy
Rhetta    	6	F	iris                	Healthy
Perry     	6	F	brownish orange     	Radioactive
Winslow   	6	M	canary yellow       	Healthy
Prudi     	5	F	iris                	Healthy
Keeley    	5	F	brownish orange     	Healthy
Thom      	5	M	canary yellow       	Healthy
Cirilo    	5	M	hot green           	Healthy
Thatch    	5	M	iris                	Healthy
Merv      	5	M	hot green           	Healthy
Gian      	5	M	iris                	Healthy
Charin    	5	F	brownish orange     	Healthy
Joyan     	5	F	canary yellow       	Healthy
Berty     	5	M	canary yellow       	Healthy
Ryan      	5	M	hot green           	Healthy
Talbot    	5	M	iris                	Healthy
Lindsey   	5	F	brownish orange     	Healthy
Denise    	4	F	iris                	Healthy
Quintana  	4	F	brownish orange     	Healthy
Pepito    	4	M	canary yellow       	Healthy
Oralee    	4	F	hot green           	Healthy
Barbara-Anne	4	F	iris                	Healthy
Dina      	4	F	hot green           	Healthy
Eustacia  	4	F	iris                	Healthy
Jilly     	4	F	brownish orange     	Healthy
Carolee   	4	F	canary yellow       	Healthy
Haskell   	4	M	canary yellow       	Healthy
Scottie   	4	M	hot green           	Healthy
Sydel     	4	F	iris                	Healthy
Ninetta   	4	F	brownish orange     	Healthy
Vivian    	4	F	iris                	Healthy
Rowan     	4	M	canary yellow       	Healthy
Faina     	4	F	hot green           	Healthy
Consuelo  	4	F	iris                	Healthy
Janine    	4	F	brownish orange     	Radioactive
Lorne     	3	M	iris                	Healthy
Willi     	3	F	brownish orange     	Healthy
Inger     	3	M	canary yellow       	Healthy
Alexis    	3	M	hot green           	Healthy
Dwain     	3	M	iris                	Healthy
Zebulon   	3	M	hot green           	Healthy
Janeen    	3	F	iris                	Healthy
Anton     	3	M	brownish orange     	Healthy
